"","AZUAY","BOLIVAR","CAÑAR","CARCHI","CHIMBORAZO","COTOPAXI","EL ORO","ESMERALDAS","GALAPAGOS","GUAYAS","IMBABURA","LOJA","LOS RIOS","MANABI","MORONA SANTIAGO","NAPO","ORELLANA","PASTAZA","PICHINCHA","SANTA ELENA","SANTO DOMINGO DE LOS TSACHILAS","SUCUMBIOS","TUNGURAHUA","ZAMORA CHINCHIPE"
"226",295594.732710936,28499.8819362109,68968.9180933516,35632.7798938516,93342.4993342094,99886.7138391696,225556.880294545,92158.0242476958,20349.6021395681,1469071.29717651,112365.012953693,114727.32110516,169185.114972628,344358.326227601,28362.4035789125,25047.4960999949,49224.8119981407,22508.0962900225,1971819.2795282,70365.9499208972,134452.739495798,41125.9572321709,173958.797058849,31989.7366069933
"227",296195.633885235,28562.5097275071,69008.1877836837,35712.4579634141,93540.8836760185,100111.915205171,226132.098498461,92361.5305348201,20408.7227987684,1472321.22264593,112607.578230703,114976.861908445,169645.017288164,345195.540107478,28429.2458639325,25106.4400418971,49365.0693371053,22559.6315987346,1976132.67289881,70569.9473898424,134842.344537815,41206.04059572,174358.358123543,32069.1901874506
"228",296796.535059534,27595.586493942,67162.7614773199,35792.1360329766,93739.2680178276,100337.116571172,226707.316702376,92565.0368219446,20467.8434579688,1475571.14811534,112850.143507713,115226.402711729,170104.919603701,346017.283533592,28496.0881489526,25165.3839837994,49505.32667607,22611.1669074466,1980446.06626942,70773.9448587876,135231.949579832,41286.1239592691,174757.919188238,32148.6437679078
"229",297397.436233833,27878.9884959892,66440.0001882786,35871.8141025391,93937.6523596368,100562.317937173,227282.534906292,92768.5431090689,20526.9641171691,1478821.07358476,113092.708784724,115475.943515013,170564.821919237,346854.566628165,28562.9304339726,25224.3279257016,49645.5840150346,22662.7022161587,1984759.45964003,70977.9423277328,135621.554621849,41366.2073228182,175157.480252932,32228.097348365
"230",297998.337408132,27592.3499915873,66622.9161598831,35951.4921721016,94136.0367014459,100787.519303174,227857.753110207,92972.0493961933,20586.0847763694,1482070.99905418,113335.274061734,115725.484318298,171024.724234774,347689.377551213,28629.7727189927,25283.2718676039,49785.8413539993,22714.2375248708,1989072.85301064,71181.939796678,136011.159663866,41446.2906863673,175557.041317627,32307.5509288223
"231",298599.238582431,28468.3236670369,66791.253299152,36031.1702416641,94334.421043255,101012.720669175,228432.971314123,93175.5556833177,20645.2054355697,1485320.92452359,113577.839338744,115975.025121582,171484.62655031,348526.405799188,28696.6150040127,25342.2158095061,49926.0986929639,22765.7728335829,1993386.24638126,71385.9372656232,136400.764705882,41526.3740499164,175956.602382321,32387.0045092795
"232",299200.13975673,28644.6722788542,66534.4882443253,36110.8483112266,94532.8053850641,101237.922035177,229008.189518038,93379.0619704421,20704.3260947701,1488570.84999301,113820.404615754,116224.565924867,171944.528865847,349361.833614177,28763.4572890328,25401.1597514084,50066.3560319286,22817.308142295,1997699.63975187,71589.9347345684,136790.369747899,41606.4574134655,176356.163447016,32466.4580897367
"233",299801.040931029,28420.1943909861,66791.0263560302,36190.5263807891,94731.1897268733,101463.123401178,229583.407721954,93582.5682575665,20763.4467539704,1491820.77546242,114062.969892765,116474.106728151,172404.431181383,350198.585658546,28830.2995740528,25460.1036933106,50206.6133708932,22868.8434510071,2002013.03312248,71793.9322035136,137179.974789916,41686.5407770146,176755.72451171,32545.911670194
"234",300401.942105328,28725.4437995495,67199.747250909,36270.2044503516,94929.5740686824,101688.324767179,230158.625925869,93786.0745446909,20822.5674131707,1495070.70093184,114305.535169775,116723.647531436,172864.33349692,351041.57329803,28897.1418590729,25519.0476352129,50346.8707098579,22920.3787597192,2006326.42649309,71997.9296724588,137569.579831933,41766.6241405637,177155.285576405,32625.3652506512
"235",301002.843279627,28324.6241803352,69382.0133325334,36349.8825199141,95127.9584104915,101913.52613318,230733.844129785,93989.5808318153,20881.688072371,1498320.62640126,114548.100446785,116973.18833472,173324.235812456,351878.13990908,28963.9841440929,25577.9915771151,50487.1280488225,22971.9140684313,2010639.81986371,72201.927141404,137959.18487395,41846.7075041128,177554.846641099,32704.8188311084
"236",301603.744453926,28822.126719167,69409.4723974623,36429.5605894766,95326.3427523006,102138.727499181,231309.0623337,94193.0871189397,20940.8087315714,1501570.55187067,114790.665723795,117222.729138004,173784.138127993,352719.991546762,29030.826429113,25636.9355190174,50627.3853877872,23023.4493771433,2014953.21323432,72405.9246103492,138348.789915966,41926.7908676619,177954.407705794,32784.2724115657
"237",302204.645628225,28887.581785842,70520.9869347422,36509.2386590391,95524.7270941097,102363.928865182,231884.280537616,94396.5934060641,20999.9293907717,1504820.47734009,115033.231000806,117472.269941289,174244.040443529,353550.190636928,29097.6687141331,25695.8794609197,50767.6427267518,23074.9846858554,2019266.60660493,72609.9220792944,138738.394957983,42006.874231211,178353.968770488,32863.7259920229
"238",302805.546802524,29192.8434291547,70946.6909991975,36588.9167286016,95723.1114359189,102589.130231184,232459.498741531,94600.0996931885,21059.050049972,1508070.40280951,115275.796277816,117721.810744573,174703.942759066,354393.118520798,29164.5109991531,25754.8234028219,50907.9000657165,23126.5199945675,2023579.99997554,72813.9195482396,139128,42086.9575947601,178753.529835183,32943.1795724801
"239",303406.447976823,29255.4712205454,70985.9606895297,36668.5947981641,95921.495777728,102814.331597185,233034.716945447,94803.6059803129,21118.1707091724,1511320.32827892,115518.361554826,117971.351547858,175163.845074602,355230.112443826,29231.3532841732,25813.7673447242,51048.1574046811,23178.0553032796,2027893.39334615,73017.9170171848,139517.605042017,42167.0409583092,179153.090899877,33022.6331529374
"240",304007.349151122,28288.5479870688,69140.5343831659,36748.2728677266,96119.8801195371,103039.532963186,233609.935149362,95007.1122674372,21177.2913683727,1514570.25374834,115760.926831836,118220.892351142,175623.747390139,356055.644685894,29298.1955691932,25872.7112866264,51188.4147436458,23229.5906119917,2032206.78671677,73221.91448613,139907.210084034,42247.1243218583,179552.651964572,33102.0867333946
"241",304608.250325421,28571.9499891991,68417.7730941246,36827.9509372891,96318.2644613462,103264.734329187,234185.153353278,95210.6185545617,21236.412027573,1517820.17921776,116003.492108847,118470.433154426,176083.649705675,356892.689888399,29365.0378542133,25931.6552285287,51328.6720826104,23281.1259207038,2036520.18008738,73425.9119550752,140296.81512605,42327.2076854074,179952.213029266,33181.5403138518
